SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	314.425	3.8289	1	3	1	137.592	-4.654	1.364	94.825	-2.648	No	Yes	No	0.625	0	0.088	-2.075	No	Yes	Yes	No	No	No	No	0.801	No	Yes	-0.678	No	No	2.453	1.868	No	No	0.648	-0.983
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O	334.397	0.8608	4	4	2	137.781	-2.433	0.242	63.129	-2.735	Yes	No	No	-1.566	0.338	-0.725	-2.936	No	No	No	No	No	No	No	0.2	No	No	1.423	No	No	1.882	2.663	Yes	No	0.285	2.255
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O	289.380938	3.5572	0	2	2	124.547	-4.565	1.405	91.969	-3.534	Yes	No	No	0.503	0.075	0.192	-1.592	No	Yes	No	No	No	No	No	0.697	No	No	-0.882	No	Yes	2.289	1.821	No	No	0.963	0.408
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12	300.398	3.5899	0	3	0	131.342	-4.08	1.362	98.191	-3.244	No	Yes	No	0.294	0.233	0.351	-2.713	No	Yes	No	No	No	No	No	0.947	Yes	No	-0.201	No	No	1.799	1.483	No	No	0.776	1.256
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1	284.246	3.2409	3	4	1	118.217	-3.765	0.97	93.774	-2.733	No	No	No	-0.587	0.174	-0.622	-2.214	No	Yes	No	No	No	No	No	0.449	No	No	0.717	No	No	2.514	1.167	Yes	No	0.392	1.22
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1	312.413	2.5349	1	2	0	137.001	-3.807	1.859	93.386	-3.113	Yes	Yes	No	0.422	0.12	0.3	-1.438	No	Yes	No	Yes	No	No	No	1.182	Yes	No	-0.554	No	No	2.469	1.248	No	No	1.363	2.476
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	410.493	3.59042	4	6	0	174.239	-3.405	1.263	94.54	-2.783	No	Yes	Yes	0.867	0.296	0.044	-2.843	Yes	Yes	No	No	No	No	No	0.927	Yes	No	-0.212	No	Yes	3.044	0.952	Yes	No	0.291	-0.435
O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1	428.443	2.9475	3	6	2	176.644	-3.515	1.258	94.879	-2.86	Yes	No	No	0.594	0.225	-1.673	-3.067	No	Yes	No	Yes	No	No	Yes	0.068	No	No	-0.453	No	Yes	2.655	1.068	Yes	No	0.313	2.438
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC	324.464	4.0487	1	2	1	144.955	-4.173	1.307	98.807	-3.015	Yes	Yes	No	0.004	0.006	0.108	-1.513	No	Yes	No	No	No	No	No	1.109	No	No	-1.082	No	No	2.304	1.637	Yes	No	0.573	0.271
COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341	403.478	3.715	3	5	0	175.782	-2.932	1.316	93.539	-2.761	Yes	Yes	Yes	0.446	0.169	0.416	-1.823	No	Yes	No	No	No	Yes	Yes	0.911	Yes	No	-0.258	No	Yes	2.741	1.82	Yes	No	0.286	-1.377
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C	337.463	4.221	0	3	1	149.411	-4.788	1.239	97.6	-3.107	Yes	Yes	No	0.519	0	-0.017	-1.685	No	Yes	Yes	Yes	No	No	Yes	0.383	No	No	-0.327	No	No	2.584	1.736	Yes	No	0.649	-0.499
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	296.41	3.6126	0	2	2	132.111	-3.665	1.045	94.895	-2.788	Yes	No	No	0.349	0.019	-0.077	-0.53	No	Yes	Yes	No	No	No	No	0.903	No	No	-1.283	No	No	2.63	1.981	No	No	0.47	0.044
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	412.946	3.809	4	5	1	172.613	-3.837	0.827	89.698	-2.957	Yes	Yes	Yes	1.473	0.149	0.212	-1.713	Yes	Yes	Yes	No	No	No	Yes	1.003	No	No	-0.356	Yes	Yes	3.062	1.745	Yes	No	0.516	0.845
O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1	390.409	3.1706	4	4	1	159.536	-2.735	-0.052	85.921	-2.735	Yes	No	Yes	0.577	0.06	0.367	-0.891	Yes	Yes	Yes	No	No	Yes	No	0.657	Yes	Yes	0.188	No	Yes	2.72	1.067	No	No	0.285	2.81
