id,name,smiles,mw,logp,tpsa,hbd,hba,rotbonds,status,reason,pdbqt
CHEMBL53463,DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,543.17,0.0,206.1,6,12,5,FAIL,MW=543.17; TPSA=206.1; HBD=6; HBA=12,
CHEMBL904,DEXMETHYLPHENIDATE HYDROCHLORIDE,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,233.14,2.09,38.3,1,3,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL904.pdbqt
CHEMBL905,RIZATRIPTAN,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,269.16,1.91,49.7,1,3,5,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL905.pdbqt
CHEMBL908,CHLORPROTHIXENE,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,315.08,5.19,3.2,0,2,3,FAIL,LogP=5.19,
CHEMBL911,ZOLPIDEM,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,307.17,3.25,37.6,0,2,3,PASS,,04_virtual_screening/ligands/pdbqt/CHEMBL911.pdbqt
CHEMBL914,FEXOFENADINE,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,501.29,5.51,81.0,3,4,10,FAIL,MW=501.29; LogP=5.51; RotB=10,
CHEMBL915,NEDOCROMIL SODIUM,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,371.1,2.48,126.8,2,5,5,FAIL,TPSA=126.8,
CHEMBL916,TIROFIBAN,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,440.23,2.95,104.7,3,5,14,FAIL,TPSA=104.7; RotB=14,
CHEMBL53418,DANTHRON,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,240.04,1.87,74.6,2,4,0,FAIL,PAINS,
CHEMBL917,FLOXURIDINE,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,246.07,-1.68,104.6,3,5,2,FAIL,LogP=-1.68; TPSA=104.6,
