system,site,persistence,n_frames,mean_score,mean_drugg,mean_volume,cx,cy,cz,tier,nearest_prod_dist,classification
S2_BIN1_SH3,5,0.1272,51,0.1297,0.0959,345.2,34.92,26.67,35.82,Tier2,4.2,canonical
S2_BIN1_SH3,51,0.1072,43,0.1375,0.0654,274.6,25.9,36.44,34.82,Tier2,2.1,canonical
S2_BIN1_SH3,27,0.1072,43,0.1306,0.0824,339.3,32.59,33.02,39.07,Tier2,2.0,canonical
S2_BIN1_SH3,168,0.1072,43,0.1384,0.1041,382.2,26.56,28.82,21.97,Tier2,4.3,canonical
S2_BIN1_SH3,132,0.1047,42,0.1288,0.1906,353.7,37.56,33.78,30.02,Tier2,3.0,canonical
S2_BIN1_SH3,163,0.1047,42,0.1557,0.128,325.3,25.29,32.6,26.12,Tier2,2.3,canonical
S2_BIN1_SH3,138,0.0973,39,0.0931,0.1268,390.6,31.57,32.97,22.69,Tier2,2.7,canonical
S2_BIN1_SH3,100,0.0948,38,0.083,0.1102,370.8,29.26,37.54,23.0,Tier2,5.1,canonical
S2_BIN1_SH3,152,0.0923,37,0.1508,0.1141,382.0,22.36,24.88,27.58,Tier2,1.8,canonical
S2_BIN1_SH3,34,0.0898,36,0.1431,0.0803,392.3,30.23,37.33,36.65,Tier2,2.9,canonical
S2_BIN1_SH3,33,0.0873,35,0.0867,0.0623,343.6,30.53,40.73,31.45,Tier2,1.2,canonical
S2_BIN1_SH3,62,0.0873,35,0.1277,0.0353,320.4,24.79,23.1,34.89,Tier2,2.4,canonical
S2_BIN1_SH3,22,0.0848,34,0.1008,0.1322,386.3,36.76,36.01,35.35,Tier2,3.2,canonical
S2_BIN1_SH3,35,0.0798,32,0.1357,0.1378,413.3,33.23,37.95,34.59,Tier2,3.8,canonical
S2_BIN1_SH3,183,0.0773,31,0.0971,0.0741,310.5,34.23,23.15,21.6,Tier2,4.3,canonical
S2_BIN1_SH3,50,0.0773,31,0.1488,0.0482,376.3,26.81,37.43,39.2,Tier2,3.3,canonical
S2_BIN1_SH3,137,0.0748,30,0.1056,0.1823,375.2,36.0,28.0,26.6,Tier2,3.6,canonical
S2_BIN1_SH3,61,0.0698,28,0.176,0.0765,346.0,24.28,24.92,31.65,Tier2,3.5,canonical
S2_BIN1_SH3,186,0.0698,28,0.1638,0.0779,345.3,24.72,22.97,23.23,Tier2,6.0,canonical
S2_BIN1_SH3,20,0.0698,28,0.0771,0.059,420.5,39.83,31.64,34.37,Tier2,3.7,canonical
S2_BIN1_SH3,32,0.0673,27,0.1003,0.1197,362.6,33.27,43.42,35.97,Tier2,5.7,canonical
S2_BIN1_SH3,141,0.0673,27,0.1351,0.1227,321.7,38.98,27.3,31.06,Tier2,1.8,canonical
S2_BIN1_SH3,165,0.0673,27,0.1409,0.078,350.3,26.03,33.72,19.71,Tier2,4.6,canonical
S2_BIN1_SH3,46,0.0673,27,0.1594,0.1825,454.0,23.39,35.47,30.77,Tier2,4.2,canonical
S2_BIN1_SH3,162,0.0648,26,0.145,0.1926,404.4,24.21,28.09,26.67,Tier2,2.2,canonical
S2_BIN1_SH3,52,0.0648,26,0.1392,0.0609,308.1,26.75,42.16,33.81,Tier2,5.2,canonical
S2_BIN1_SH3,88,0.0648,26,0.1485,0.0543,323.1,19.73,31.59,29.73,Tier2,3.9,canonical
S2_BIN1_SH3,64,0.0648,26,0.1627,0.0723,300.8,30.88,23.67,37.65,Tier2,4.3,canonical
S2_BIN1_SH3,65,0.0623,25,0.1292,0.1041,400.2,31.2,27.74,37.78,Tier2,2.7,canonical
S2_BIN1_SH3,148,0.0623,25,0.1095,0.1233,316.0,40.68,28.22,24.7,Tier2,5.0,canonical
S2_BIN1_SH3,69,0.0623,25,0.1511,0.0286,326.4,23.76,31.13,36.75,Tier2,4.4,canonical
S2_BIN1_SH3,139,0.0623,25,0.0918,0.0727,364.6,35.78,32.62,22.75,Tier2,3.4,canonical
S2_BIN1_SH3,49,0.0599,24,0.109,0.0913,310.2,21.18,39.53,32.93,Tier2,7.3,canonical
S2_BIN1_SH3,172,0.0599,24,0.1051,0.0433,307.3,34.27,18.14,29.46,Tier2,7.0,canonical
S2_BIN1_SH3,114,0.0599,24,0.1042,0.1161,389.7,23.51,39.53,23.71,Tier2,3.9,canonical
S2_BIN1_SH3,134,0.0574,23,0.0465,0.0581,338.5,41.03,36.59,30.09,Tier2,4.4,canonical
S2_BIN1_SH3,47,0.0574,23,0.1218,0.0728,342.4,24.54,38.91,29.16,Tier2,3.4,canonical
S2_BIN1_SH3,3,0.0574,23,0.1466,0.0441,308.1,38.29,22.05,36.92,Tier2,4.5,canonical
S2_BIN1_SH3,43,0.0574,23,0.1363,0.1597,498.8,28.6,36.39,31.31,Tier2,4.3,canonical
S2_BIN1_SH3,164,0.0574,23,0.1629,0.0973,391.7,23.53,31.69,22.07,Tier2,2.4,canonical
S2_BIN1_SH3,157,0.0574,23,0.1628,0.0656,375.2,20.55,26.43,23.17,Tier2,5.1,canonical
S2_BIN1_SH3,131,0.0574,23,0.0893,0.0362,324.8,36.17,39.92,31.75,Tier2,5.1,canonical
S2_BIN1_SH3,167,0.0574,23,0.0973,0.0702,281.9,30.62,29.23,20.66,Tier2,1.7,canonical
S2_BIN1_SH3,79,0.0574,23,0.1894,0.1328,385.0,19.95,27.56,32.18,Tier2,5.1,canonical
S2_BIN1_SH3,187,0.0549,22,0.1655,0.1839,468.2,28.59,24.64,21.57,Tier2,2.5,canonical
S2_BIN1_SH3,174,0.0549,22,0.1253,0.1511,403.3,32.99,24.66,32.62,Tier2,3.5,canonical
S2_BIN1_SH3,71,0.0524,21,0.1165,0.0834,350.9,24.98,27.46,37.89,Tier2,3.0,canonical
S2_BIN1_SH3,78,0.0524,21,0.2351,0.1141,345.6,22.94,30.11,33.39,Tier2,2.5,canonical
S2_BIN1_SH3,60,0.0524,21,0.0964,0.0243,278.2,19.42,26.79,36.22,Tier2,5.8,canonical
S2_BIN1_SH3,94,0.0524,21,0.1594,0.2042,326.0,33.78,37.17,28.15,Tier2,2.0,canonical
S2_BIN1_SH3,36,0.0524,21,0.134,0.0717,327.2,21.04,34.16,39.9,Tier2,7.2,canonical
S2_BIN1_SH3,166,0.0524,21,0.1203,0.0488,308.1,27.73,27.45,17.43,Tier2,6.1,canonical
S2_BIN1_SH3,48,0.0499,20,0.1497,0.0294,323.0,19.86,34.59,34.98,Noise,3.6,canonical
S2_BIN1_SH3,179,0.0499,20,0.138,0.0592,302.2,27.67,19.34,32.65,Noise,3.4,canonical
S2_BIN1_SH3,85,0.0499,20,0.126,0.0562,473.3,20.64,35.45,26.74,Noise,5.2,canonical
S2_BIN1_SH3,93,0.0499,20,0.1674,0.1062,307.8,35.16,38.55,23.69,Noise,3.4,canonical
S2_BIN1_SH3,129,0.0499,20,0.0859,0.0226,331.0,38.48,39.57,27.3,Noise,5.6,canonical
S2_BIN1_SH3,119,0.0499,20,0.1566,0.0792,305.3,32.98,30.46,17.93,Noise,3.6,canonical
S2_BIN1_SH3,144,0.0499,20,0.1017,0.1541,471.1,38.85,23.19,28.83,Noise,4.2,canonical
S2_BIN1_SH3,145,0.0499,20,0.1738,0.2064,337.0,37.56,22.47,25.08,Noise,3.4,canonical
S2_BIN1_SH3,180,0.0474,19,0.1347,0.039,327.3,27.6,20.3,28.55,Noise,3.5,canonical
S2_BIN1_SH3,175,0.0474,19,0.0966,0.0519,374.6,33.25,22.63,26.46,Noise,2.9,canonical
S2_BIN1_SH3,18,0.0474,19,0.0957,0.0527,300.8,35.72,31.65,37.53,Noise,4.1,canonical
S2_BIN1_SH3,66,0.0449,18,0.0868,0.0307,284.5,29.74,28.28,42.47,Noise,2.7,canonical
S2_BIN1_SH3,63,0.0449,18,0.1701,0.0719,388.7,27.1,24.07,37.61,Noise,3.0,canonical
S2_BIN1_SH3,116,0.0449,18,0.1276,0.0317,244.3,28.49,37.69,18.58,Noise,7.9,canonical
S2_BIN1_SH3,173,0.0449,18,0.2054,0.0165,323.1,32.38,20.72,33.28,Noise,3.2,canonical
S2_BIN1_SH3,45,0.0424,17,0.1628,0.1561,464.9,31.09,33.78,35.62,Noise,4.5,canonical
S2_BIN1_SH3,140,0.0424,17,0.0562,0.1141,351.0,35.54,28.19,31.25,Noise,4.8,canonical
S2_BIN1_SH3,99,0.0424,17,0.1276,0.143,364.7,29.45,39.24,27.02,Noise,4.5,canonical
S2_BIN1_SH3,154,0.0424,17,0.1906,0.0386,334.3,20.82,20.49,27.59,Noise,6.5,canonical
S2_BIN1_SH3,26,0.0399,16,0.1327,0.0523,335.5,33.79,37.43,40.6,Noise,3.0,canonical
S2_BIN1_SH3,135,0.0399,16,0.1734,0.1884,476.2,31.06,26.38,26.81,Noise,4.0,canonical
S2_BIN1_SH3,176,0.0399,16,0.1281,0.1272,311.8,29.49,23.64,30.39,Noise,3.9,canonical
S2_BIN1_SH3,23,0.0399,16,0.0704,0.0596,273.1,37.78,40.35,38.64,Noise,7.0,canonical
S2_BIN1_SH3,142,0.0374,15,0.0905,0.0029,250.6,43.77,26.99,31.32,Noise,4.2,canonical
S2_BIN1_SH3,68,0.0374,15,0.1283,0.0313,352.2,23.06,25.97,42.25,Noise,6.8,canonical
S2_BIN1_SH3,151,0.0374,15,0.2041,0.0874,332.2,24.06,22.0,28.37,Noise,3.5,canonical
S2_BIN1_SH3,155,0.0374,15,0.1591,0.1052,317.4,17.66,25.97,29.2,Noise,5.6,canonical
S2_BIN1_SH3,188,0.0349,14,0.1475,0.049,393.5,28.58,23.33,25.96,Noise,3.9,canonical
S2_BIN1_SH3,86,0.0349,14,0.1276,0.0523,282.9,18.43,35.96,23.6,Noise,7.4,canonical
