system,site,persistence,n_frames,mean_score,mean_drugg,mean_volume,cx,cy,cz,tier,nearest_prod_dist,classification
S5_CD2AP_SH3-1,83,0.098,39,0.1848,0.1808,423.3,31.27,29.56,23.85,Tier2,4.6,canonical
S5_CD2AP_SH3-1,98,0.0905,36,0.2152,0.1608,422.7,25.73,25.44,27.2,Tier2,4.9,canonical
S5_CD2AP_SH3-1,149,0.0905,36,0.22,0.2177,380.1,29.8,27.82,33.03,Tier2,4.8,canonical
S5_CD2AP_SH3-1,150,0.0779,31,0.157,0.2398,460.6,26.02,26.33,31.72,Tier2,5.0,canonical
S5_CD2AP_SH3-1,192,0.0754,30,0.1274,0.0612,355.6,28.33,39.2,25.82,Tier2,6.0,canonical
S5_CD2AP_SH3-1,79,0.0729,29,0.1678,0.0791,398.0,32.58,22.38,23.15,Tier2,7.9,canonical
S5_CD2AP_SH3-1,154,0.0704,28,0.1963,0.0591,315.1,23.97,30.25,33.99,Tier2,5.7,canonical
S5_CD2AP_SH3-1,160,0.0704,28,0.1103,0.1786,398.2,32.33,26.69,29.61,Tier2,7.8,canonical
S5_CD2AP_SH3-1,3,0.0678,27,0.1427,0.0431,374.4,24.42,35.85,28.67,Tier2,8.4,canonical
S5_CD2AP_SH3-1,152,0.0653,26,0.1332,0.1392,437.0,29.78,32.49,28.09,Tier2,5.2,canonical
S5_CD2AP_SH3-1,85,0.0603,24,0.1938,0.2428,383.3,33.09,31.02,19.05,Tier2,4.8,canonical
S5_CD2AP_SH3-1,106,0.0578,23,0.1676,0.0645,293.2,37.67,26.09,26.36,Tier2,4.0,canonical
S5_CD2AP_SH3-1,153,0.0553,22,0.1837,0.1571,410.5,27.54,33.79,32.99,Tier2,7.1,canonical
S5_CD2AP_SH3-1,95,0.0503,20,0.196,0.2173,435.0,21.04,29.32,27.53,Tier2,3.0,canonical
S5_CD2AP_SH3-1,197,0.0503,20,0.0476,0.1234,514.6,33.32,31.86,31.16,Tier2,4.8,canonical
S5_CD2AP_SH3-1,96,0.0477,19,0.1671,0.0773,323.4,20.34,31.49,24.19,Noise,2.7,canonical
S5_CD2AP_SH3-1,151,0.0477,19,0.1604,0.1497,433.6,26.55,32.24,25.99,Noise,7.5,canonical
S5_CD2AP_SH3-1,82,0.0477,19,0.1023,0.0994,456.7,34.93,31.26,27.11,Noise,4.1,canonical
