pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,PAINS_detail,Brenk_alert,pass_admet
S3_site473,CHEMBL1200596,CHLOROXINE,-26.28,2.26,101,2.021,4.29,5.15,212.97,3.25,33.1,1.0,2.0,13,Oc1c(Cl)cc(Cl)c2cccnc12,0,0,0.143,0,,0,1
S1_site680,CHEMBL1201060,LOXAPINE HYDROCHLORIDE,-26.18,2.98,101,1.138,4.03,4.83,327.11,3.77,28.1,0.0,4.0,23,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,0,0,0.296,0,,0,1
S1_site1813,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-25.76,2.87,101,0.859,3.76,4.51,403.18,3.72,48.0,0.0,5.0,30,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,3,0,-0.006,0,,0,1
S1_site688,CHEMBL4105630,ZURANOLONE,-25.32,4.44,101,0.844,2.72,3.26,409.27,4.34,78.9,1.0,4.0,30,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,3,0,-0.369,0,,0,0
S1_site680,CHEMBL14376,ILOPERIDONE,-25.29,3.87,101,0.816,2.59,3.11,426.2,4.83,64.8,0.0,6.0,31,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,8,0,-0.086,0,,1,0
S1_site1813,CHEMBL1200936,PENICILLIN G PROCAINE,-24.89,2.6,101,1.082,4.05,4.87,334.1,0.86,86.7,2.0,4.0,23,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,4,0,-1.013,0,,0,0
S3_site473,CHEMBL1177,PEMOLINE,-24.62,3.71,101,1.894,4.75,5.71,176.06,0.6,64.7,1.0,3.0,13,NC1=NC(=O)C(c2ccccc2)O1,1,0,-0.727,0,,0,1
S1_site1813,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-24.58,3.37,101,0.878,3.45,4.14,412.11,3.81,48.5,1.0,5.0,28,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4,0,0.0,0,,0,1
S1_site1813,CHEMBL29,PENICILLIN G,-24.49,2.75,101,1.065,4.05,4.87,334.1,0.86,86.7,2.0,4.0,23,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,4,0,-1.013,0,,0,0
S1_site688,CHEMBL231068,FLIBANSERIN,-24.45,2.42,101,0.873,4.14,4.97,390.17,3.17,44.3,1.0,3.0,28,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,4,0,-0.035,0,,0,1
S3_site473,CHEMBL341812,IBUFENAC,-24.39,2.89,101,1.742,4.66,5.6,192.12,2.51,37.3,1.0,1.0,14,CC(C)Cc1ccc(CC(=O)O)cc1,4,0,-0.032,0,,0,1
S1_site688,CHEMBL521686,OLAPARIB,-23.4,3.12,101,0.731,3.75,4.5,434.18,2.35,86.4,1.0,4.0,32,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,4,0,-0.783,0,,0,1
S1_site688,CHEMBL3707377,SEGESTERONE ACETATE,-23.34,2.5,101,0.865,3.6,4.31,370.21,4.19,60.4,0.0,4.0,27,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,2,0,-0.118,0,,1,1
S1_site680,CHEMBL4105630,ZURANOLONE,-23.17,2.97,101,0.772,2.72,3.26,409.27,4.34,78.9,1.0,4.0,30,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,3,0,-0.369,0,,0,0
S1_site1813,CHEMBL1162,NORETHINDRONE,-23.05,4.15,101,1.048,4.09,4.91,298.19,3.49,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,0,0.117,0,,1,1
S3_site473,CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,-23.03,2.58,101,0.768,3.76,4.51,403.18,3.72,48.0,0.0,5.0,30,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,3,0,-0.006,0,,0,1
S1_site680,CHEMBL1621,PALIPERIDONE,-22.97,5.23,101,0.741,3.55,4.26,426.21,3.08,84.4,1.0,6.0,31,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,4,0,-0.642,0,,0,1
S1_site1813,CHEMBL1200436,OXANDROLONE,-22.9,3.07,101,1.041,4.05,4.86,306.22,3.54,46.5,1.0,3.0,22,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,0,-0.011,0,,0,1
S3_site473,CHEMBL3989939,LAROTRECTINIB SULFATE,-22.86,4.09,101,0.737,3.26,3.92,428.18,2.95,86.0,2.0,5.0,31,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,3,0,-0.685,0,,0,1
