pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles
S1_site680,CHEMBL3989939,LAROTRECTINIB SULFATE,-28.69,7.65,101,0.925,3.26,3.92,428.18,2.95,86.0,2.0,5.0,31,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
S1_site680,CHEMBL340978,BENOXAPROFEN,-17.86,2.62,101,0.851,3.33,3.99,301.05,4.34,63.3,1.0,3.0,21,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
S1_site680,CHEMBL494753,ESTRONE SULFURIC ACID,-20.02,3.29,101,0.834,3.91,4.7,350.12,3.29,80.7,1.0,4.0,24,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
S1_site680,CHEMBL473417,VISMODEGIB,-22.4,3.19,101,0.83,2.38,2.85,420.01,4.71,76.1,1.0,4.0,27,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
S1_site680,CHEMBL14376,ILOPERIDONE,-25.29,3.87,101,0.816,2.59,3.11,426.2,4.83,64.8,0.0,6.0,31,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
S1_site680,CHEMBL4279047,VORASIDENIB,-21.83,2.52,101,0.809,2.43,2.91,414.08,4.31,75.6,2.0,6.0,27,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
S1_site680,CHEMBL25202,TAMIBAROTENE,-20.64,3.48,101,0.794,2.4,2.88,351.18,4.99,66.4,2.0,2.0,26,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
S1_site680,CHEMBL1094636,NIRAPARIB,-18.68,6.22,101,0.778,4.09,4.91,320.16,2.59,72.9,2.0,3.0,24,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
S1_site680,CHEMBL4105630,ZURANOLONE,-23.17,2.97,101,0.772,2.72,3.26,409.27,4.34,78.9,1.0,4.0,30,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1
S1_site680,CHEMBL1720,PALONOSETRON HYDROCHLORIDE,-16.78,3.54,101,0.763,4.78,5.74,296.19,2.66,23.6,0.0,2.0,22,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
S1_site680,CHEMBL1657,TAZAROTENE,-18.93,3.88,101,0.757,3.48,4.17,351.13,4.43,39.2,0.0,4.0,25,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
S1_site680,CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,-21.11,3.03,101,0.754,3.45,4.14,412.11,3.81,48.5,1.0,5.0,28,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
S1_site680,CHEMBL277100,TEMAFLOXACIN,-22.55,4.0,101,0.752,3.55,4.26,417.13,2.9,74.6,2.0,4.0,30,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
S1_site680,CHEMBL1621,PALIPERIDONE,-22.97,5.23,101,0.741,3.55,4.26,426.21,3.08,84.4,1.0,6.0,31,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
S1_site680,CHEMBL1214124,PERAMPANEL,-19.07,2.35,101,0.706,3.47,4.16,349.12,4.44,58.7,0.0,3.0,27,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
S1_site680,CHEMBL5315125,DUVELISIB MONOHYDRATE,-21.1,2.78,101,0.703,2.06,2.47,416.12,4.48,88.5,2.0,5.0,30,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
S1_site1813,CHEMBL2079587,STANOZOLOL,-27.24,3.79,101,1.135,3.23,3.88,328.25,4.12,48.9,2.0,2.0,24,C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
S1_site1813,CHEMBL1200936,PENICILLIN G PROCAINE,-24.89,2.6,101,1.082,4.05,4.87,334.1,0.86,86.7,2.0,4.0,23,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
S1_site1813,CHEMBL29,PENICILLIN G,-24.49,2.75,101,1.065,4.05,4.87,334.1,0.86,86.7,2.0,4.0,23,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
S1_site1813,CHEMBL1162,NORETHINDRONE,-23.05,4.15,101,1.048,4.09,4.91,298.19,3.49,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
S1_site1813,CHEMBL1200803,SOLIFENACIN SUCCINATE,-28.11,3.15,101,1.041,3.93,4.72,362.2,3.86,32.8,0.0,3.0,27,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
S1_site1813,CHEMBL1200436,OXANDROLONE,-22.9,3.07,101,1.041,4.05,4.86,306.22,3.54,46.5,1.0,3.0,22,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
S1_site1813,CHEMBL1627367,FLUOROESTRADIOL,-21.71,2.5,101,1.034,3.7,4.44,290.17,3.56,40.5,2.0,2.0,21,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O
