chembl_id,receptor_id,receptor_label,vina_score
CHEMBL4585668,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.027
CHEMBL3137310,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-7.056
CHEMBL1375743,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.844
CHEMBL1162,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.362
CHEMBL1200436,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.816
CHEMBL1201151,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.235
CHEMBL1200430,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.191
CHEMBL976,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.348
CHEMBL1627367,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.354
CHEMBL1571,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.664
CHEMBL85,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-7.15
CHEMBL1405,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.193
CHEMBL4594261,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.35
CHEMBL654,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.874
CHEMBL3989939,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-7.109
CHEMBL254857,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-7.023
CHEMBL1201060,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.271
CHEMBL1621,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-7.131
CHEMBL277100,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.278
CHEMBL2103837,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.916
CHEMBL256997,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.754
CHEMBL494753,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.995
CHEMBL231068,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.86
CHEMBL3707377,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.154
CHEMBL1479,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.656
CHEMBL1201731,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.929
CHEMBL1531,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.555
CHEMBL1200624,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.401
CHEMBL4297147,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.233
CHEMBL3188267,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-7.373
CHEMBL1678,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.26
CHEMBL3137320,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.79
CHEMBL3233142,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.855
CHEMBL799,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.571
CHEMBL595,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.341
CHEMBL2359966,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.492
CHEMBL1387,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.223
CHEMBL857,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-4.704
CHEMBL400599,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.267
CHEMBL95,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.503
CHEMBL1256841,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.938
CHEMBL1108,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-6.432
CHEMBL175,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-4.835
CHEMBL1770,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-4.913
CHEMBL1200596,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.324
CHEMBL1177,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.373
CHEMBL341812,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-4.841
CHEMBL1095,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.139
CHEMBL1454910,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.734
CHEMBL1266,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.166
CHEMBL1201168,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.687
CHEMBL1201754,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.506
CHEMBL797,PICALM_ubiquitin_site,PICALM ANTH ubiquitin-binding site,-5.039
CHEMBL1200803,BACE1,BACE-1 aspartyl protease active site,-7.292
CHEMBL2079587,BACE1,BACE-1 aspartyl protease active site,-9.125
CHEMBL521686,BACE1,BACE-1 aspartyl protease active site,-9.344
CHEMBL4585668,BACE1,BACE-1 aspartyl protease active site,-8.305
CHEMBL3137310,BACE1,BACE-1 aspartyl protease active site,-8.092
CHEMBL1375743,BACE1,BACE-1 aspartyl protease active site,-7.848
CHEMBL1162,BACE1,BACE-1 aspartyl protease active site,-7.745
CHEMBL1200436,BACE1,BACE-1 aspartyl protease active site,-7.31
CHEMBL1201151,BACE1,BACE-1 aspartyl protease active site,-7.723
CHEMBL1200430,BACE1,BACE-1 aspartyl protease active site,-7.038
CHEMBL976,BACE1,BACE-1 aspartyl protease active site,-7.701
CHEMBL1627367,BACE1,BACE-1 aspartyl protease active site,-8.624
CHEMBL1571,BACE1,BACE-1 aspartyl protease active site,-7.535
CHEMBL85,BACE1,BACE-1 aspartyl protease active site,-8.132
CHEMBL1405,BACE1,BACE-1 aspartyl protease active site,-8.387
CHEMBL4594261,BACE1,BACE-1 aspartyl protease active site,-8.617
CHEMBL654,BACE1,BACE-1 aspartyl protease active site,-6.461
CHEMBL3989939,BACE1,BACE-1 aspartyl protease active site,-8.013
CHEMBL254857,BACE1,BACE-1 aspartyl protease active site,-7.25
CHEMBL1201060,BACE1,BACE-1 aspartyl protease active site,-6.783
CHEMBL1621,BACE1,BACE-1 aspartyl protease active site,-7.909
CHEMBL277100,BACE1,BACE-1 aspartyl protease active site,-7.782
CHEMBL2103837,BACE1,BACE-1 aspartyl protease active site,-7.257
CHEMBL256997,BACE1,BACE-1 aspartyl protease active site,-8.367
CHEMBL494753,BACE1,BACE-1 aspartyl protease active site,-8.714
CHEMBL231068,BACE1,BACE-1 aspartyl protease active site,-8.67
CHEMBL3707377,BACE1,BACE-1 aspartyl protease active site,-7.82
CHEMBL1479,BACE1,BACE-1 aspartyl protease active site,-8.384
CHEMBL1201731,BACE1,BACE-1 aspartyl protease active site,-7.784
CHEMBL1531,BACE1,BACE-1 aspartyl protease active site,-7.445
CHEMBL1200624,BACE1,BACE-1 aspartyl protease active site,-7.79
CHEMBL4297147,BACE1,BACE-1 aspartyl protease active site,-7.366
CHEMBL3188267,BACE1,BACE-1 aspartyl protease active site,-8.58
CHEMBL1678,BACE1,BACE-1 aspartyl protease active site,-7.539
CHEMBL3137320,BACE1,BACE-1 aspartyl protease active site,-7.965
CHEMBL3233142,BACE1,BACE-1 aspartyl protease active site,-7.443
CHEMBL799,BACE1,BACE-1 aspartyl protease active site,-7.19
CHEMBL595,BACE1,BACE-1 aspartyl protease active site,-6.473
CHEMBL2359966,BACE1,BACE-1 aspartyl protease active site,-6.471
CHEMBL1387,BACE1,BACE-1 aspartyl protease active site,-7.796
CHEMBL857,BACE1,BACE-1 aspartyl protease active site,-6.035
CHEMBL400599,BACE1,BACE-1 aspartyl protease active site,-6.129
CHEMBL95,BACE1,BACE-1 aspartyl protease active site,-6.944
CHEMBL1256841,BACE1,BACE-1 aspartyl protease active site,-6.737
CHEMBL1108,BACE1,BACE-1 aspartyl protease active site,-6.885
CHEMBL175,BACE1,BACE-1 aspartyl protease active site,-6.783
CHEMBL1770,BACE1,BACE-1 aspartyl protease active site,-6.142
CHEMBL1200596,BACE1,BACE-1 aspartyl protease active site,-6.192
CHEMBL1177,BACE1,BACE-1 aspartyl protease active site,-6.243
CHEMBL341812,BACE1,BACE-1 aspartyl protease active site,-6.19
CHEMBL1095,BACE1,BACE-1 aspartyl protease active site,-6.454
CHEMBL1454910,BACE1,BACE-1 aspartyl protease active site,-7.015
CHEMBL1266,BACE1,BACE-1 aspartyl protease active site,-7.182
CHEMBL1201168,BACE1,BACE-1 aspartyl protease active site,-6.708
CHEMBL1201754,BACE1,BACE-1 aspartyl protease active site,-6.915
CHEMBL797,BACE1,BACE-1 aspartyl protease active site,-6.355
CHEMBL1200803,AChE,AChE catalytic gorge,-7.499
CHEMBL2079587,AChE,AChE catalytic gorge,-7.557
CHEMBL521686,AChE,AChE catalytic gorge,-8.803
CHEMBL4585668,AChE,AChE catalytic gorge,-7.618
CHEMBL3137310,AChE,AChE catalytic gorge,-8.425
CHEMBL1375743,AChE,AChE catalytic gorge,-8.233
CHEMBL1162,AChE,AChE catalytic gorge,-7.346
CHEMBL1200436,AChE,AChE catalytic gorge,-7.035
CHEMBL1201151,AChE,AChE catalytic gorge,-7.447
CHEMBL1200430,AChE,AChE catalytic gorge,-7.602
CHEMBL976,AChE,AChE catalytic gorge,-7.269
CHEMBL1627367,AChE,AChE catalytic gorge,-7.455
CHEMBL1571,AChE,AChE catalytic gorge,-8.062
CHEMBL85,AChE,AChE catalytic gorge,-9.53
CHEMBL1405,AChE,AChE catalytic gorge,-7.258
CHEMBL4594261,AChE,AChE catalytic gorge,-7.432
CHEMBL654,AChE,AChE catalytic gorge,-7.29
CHEMBL3989939,AChE,AChE catalytic gorge,-8.23
CHEMBL254857,AChE,AChE catalytic gorge,-7.785
CHEMBL1201060,AChE,AChE catalytic gorge,-7.744
CHEMBL1621,AChE,AChE catalytic gorge,-8.741
CHEMBL277100,AChE,AChE catalytic gorge,-8.227
CHEMBL2103837,AChE,AChE catalytic gorge,-7.249
CHEMBL256997,AChE,AChE catalytic gorge,-7.693
