system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S4_CD2AP_SH3-2,4,3,Tier2,0.0622,0.215,0.1029,315.1,37.0,27.26,30.56,"1,2,3"
S4_CD2AP_SH3-2,2,2,Tier2,0.0525,0.2676,0.0724,295.1,28.4,20.88,26.86,"2,3"
S4_CD2AP_SH3-2,3,1,Tier2,0.0535,0.2266,0.0837,303.6,35.12,29.72,22.02,3
S4_CD2AP_SH3-2,0,1,Tier2,0.0528,0.215,0.1786,362.6,28.6,34.38,35.39,1
S4_CD2AP_SH3-2,1,1,Tier2,0.051,0.2668,0.0679,292.8,21.92,31.38,24.78,2
