system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S3_PICALM_ANTH,47,3,Tier2,0.0814,0.1678,0.0575,273.9,41.26,42.15,42.59,"1,2,3"
S3_PICALM_ANTH,83,3,Tier2,0.0795,0.1363,0.0485,290.3,47.06,37.55,43.97,"1,2,3"
S3_PICALM_ANTH,21,3,Tier2,0.0792,0.138,0.0834,333.0,38.58,54.42,49.9,"1,2,3"
S3_PICALM_ANTH,30,3,Tier2,0.0738,0.1312,0.0404,276.9,49.25,55.7,53.12,"1,2,3"
S3_PICALM_ANTH,73,3,Tier2,0.0738,0.1313,0.0388,296.0,39.75,47.82,54.4,"1,2,3"
S3_PICALM_ANTH,86,3,Tier2,0.0736,0.1546,0.0419,235.4,50.85,41.12,51.44,"1,2,3"
S3_PICALM_ANTH,65,3,Tier2,0.0734,0.1113,0.0857,326.2,56.2,37.99,53.34,"1,2,3"
S3_PICALM_ANTH,34,3,Tier2,0.0727,0.102,0.052,306.6,60.37,53.92,48.23,"1,2,3"
S3_PICALM_ANTH,44,3,Tier2,0.0724,0.1239,0.0565,287.1,55.39,49.89,55.58,"1,2,3"
S3_PICALM_ANTH,36,3,Tier2,0.0722,0.151,0.0528,258.1,53.3,55.08,45.02,"1,2,3"
S3_PICALM_ANTH,67,3,Tier2,0.0721,0.0988,0.0658,326.1,59.57,44.3,55.01,"1,2,3"
S3_PICALM_ANTH,16,3,Tier2,0.0716,0.1165,0.0516,322.5,33.27,53.26,53.38,"1,2,3"
S3_PICALM_ANTH,75,3,Tier2,0.0716,0.1489,0.0521,273.7,41.01,40.93,51.41,"1,2,3"
S3_PICALM_ANTH,14,3,Tier2,0.0715,0.1217,0.046,319.5,33.74,54.04,42.85,"1,2,3"
S3_PICALM_ANTH,61,3,Tier2,0.0713,0.1188,0.0503,282.1,58.52,45.69,46.22,"1,2,3"
S3_PICALM_ANTH,8,3,Tier2,0.0711,0.1252,0.0623,307.3,42.45,52.5,36.98,"1,2,3"
S3_PICALM_ANTH,12,3,Tier2,0.0706,0.1338,0.0402,277.0,38.31,48.21,45.79,"1,2,3"
S3_PICALM_ANTH,33,3,Tier2,0.0705,0.1117,0.0609,313.3,58.99,57.99,50.91,"1,2,3"
S3_PICALM_ANTH,17,3,Tier2,0.0697,0.1065,0.0596,319.1,43.67,62.23,48.07,"1,2,3"
S3_PICALM_ANTH,62,3,Tier2,0.0692,0.1326,0.0487,279.3,54.6,39.82,45.9,"1,2,3"
S3_PICALM_ANTH,6,3,Tier2,0.0687,0.1282,0.0639,311.4,40.86,55.85,41.04,"1,2,3"
S3_PICALM_ANTH,72,3,Tier2,0.0687,0.1078,0.057,316.1,42.45,47.82,60.41,"1,2,3"
