system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S2_BIN1_SH3,15,3,Tier2,0.0635,0.1607,0.0829,342.8,31.33,30.76,21.11,"1,2,3"
S2_BIN1_SH3,3,3,Tier2,0.061,0.1522,0.0662,334.5,31.05,39.84,32.15,"1,2,3"
S2_BIN1_SH3,6,3,Tier2,0.0596,0.1293,0.084,341.8,38.3,32.56,25.08,"1,2,3"
S2_BIN1_SH3,16,3,Tier2,0.0593,0.1851,0.0619,335.0,21.76,32.28,32.98,"1,2,3"
S2_BIN1_SH3,12,3,Tier2,0.0592,0.1933,0.0775,331.0,24.98,25.3,35.8,"1,2,3"
S2_BIN1_SH3,4,3,Tier2,0.0584,0.1824,0.0818,342.5,27.53,36.44,36.18,"1,2,3"
S2_BIN1_SH3,13,3,Tier2,0.0581,0.1873,0.0632,334.5,26.08,22.0,31.24,"1,2,3"
S2_BIN1_SH3,17,3,Tier2,0.0571,0.1714,0.0876,350.7,25.42,37.4,26.29,"1,2,3"
S2_BIN1_SH3,14,3,Tier2,0.057,0.1855,0.0955,338.3,24.89,32.32,23.92,"1,2,3"
S2_BIN1_SH3,11,3,Tier2,0.0559,0.2063,0.0869,349.2,23.0,26.57,27.69,"1,2,3"
S2_BIN1_SH3,2,3,Tier2,0.0556,0.132,0.0852,336.2,38.2,34.64,32.83,"1,2,3"
S2_BIN1_SH3,5,3,Tier2,0.0556,0.1422,0.1035,339.7,33.81,36.72,26.21,"1,2,3"
S2_BIN1_SH3,1,3,Tier2,0.0549,0.1821,0.0745,333.3,29.48,28.22,39.79,"1,2,3"
S2_BIN1_SH3,7,3,Tier2,0.0534,0.1613,0.1002,338.6,34.22,22.62,35.12,"1,2,3"
S2_BIN1_SH3,0,3,Tier2,0.0528,0.1554,0.0775,330.7,33.6,34.72,39.34,"1,2,3"
S2_BIN1_SH3,8,2,Tier2,0.0636,0.1225,0.0797,332.1,39.78,26.27,32.24,"1,3"
S2_BIN1_SH3,10,2,Tier2,0.0615,0.1442,0.0837,342.4,35.44,24.49,26.73,"1,3"
S2_BIN1_SH3,9,2,Tier2,0.0534,0.1687,0.0699,328.8,30.58,24.94,23.07,"1,3"
