system,group_id,n_replicas,best_tier,persistence,mean_score,mean_drugg,mean_volume,cx,cy,cz,runs
S4_CD2AP_SH3-2,4,3,Tier2,0.0622,0.215,0.1029,315.1,37.0,27.26,30.56,"1,2,3"
S4_CD2AP_SH3-2,2,2,Tier2,0.0525,0.2676,0.0724,295.1,28.4,20.88,26.86,"2,3"
